0,1
1,5
2,7
3,9
4,11
5,13
6,19
7,23
8,27
9,31
10,35
11,43
12,49
13,55
14,61
15,67
16,77
17,85
18,93
19,101
20,109
21,121
22,131
23,141
24,151
25,161
26,175
27,187
28,199
29,211
30,223
31,239
32,253
33,267
34,281
35,295
36,313
37,329
38,345
39,361
40,377
41,397
42,415
43,433
44,451
45,469
46,491
47,511
48,531
49,551
50,571
51,595
52,617
53,639
54,661
55,683
56,709
57,733
58,757
59,781
60,805
61,833
62,859
63,885
64,911
65,937
66,967
67,995
68,1023
69,1051
70,1079
71,1111
72,1141
73,1171
74,1201
75,1231
76,1265
77,1297
78,1329
79,1361
80,1393
81,1429
82,1463
83,1497
84,1531
85,1565
86,1603
87,1639
88,1675
89,1711
90,1747
91,1787
92,1825
93,1863
94,1901
95,1939
96,1981
97,2021
98,2061
99,2101
